Attack Surface Source,Attack Surface Target,Attack Vector,Database,ID,Related CWE,Related CAPEC,Related CVE,Contents
Wi-Fi,Laptop,CVE-2017-0792,CVE,2017-0792,CWE-200,['N/A'],['N/A'],A information disclosure vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-37305578. References: B-V2017052301.
Wi-Fi,Laptop,CVE-2017-9417,CVE,2017-9417,CWE-284,['N/A'],['N/A'],"Broadcom BCM43xx Wi-Fi chips allow remote attackers to execute arbitrary code via unspecified vectors, aka the ""Broadpwn"" issue."
Wi-Fi,Laptop,CVE-2017-0705,CVE,2017-0705,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-34973477. References: B-RB#119898.
Wi-Fi,Laptop,CVE-2017-0706,CVE,2017-0706,CWE-264,['N/A'],['N/A'],A elevation of privilege vulnerability in the Broadcom wi-fi driver. Product: Android. Versions: Android kernel. Android ID: A-35195787. References: B-RB#120532.
Wi-Fi,Laptop,CVE-2017-8878,CVE,2017-8878,CWE-200,['N/A'],['N/A'],ASUS RT-AC* and RT-N* devices with firmware before 3.0.0.4.380.7378 allow remote authenticated users to discover the Wi-Fi password via WPS_info.xml.
Wi-Fi,Laptop,CVE-2009-2273,CVE,2009-2273,CWE-310,['N/A'],['N/A'],"The default configuration of the Wi-Fi component on the Huawei D100 does not use encryption, which makes it easier for remote attackers to obtain sensitive information by sniffing the network."
Wi-Fi,Laptop,CVE-2016-2433,CVE,2016-2433,CWE-284,['N/A'],['N/A'],"The Broadcom Wi-Fi driver for Android, as used by BlackBerry smartphones before Build AAE570, allows remote attackers to execute arbitrary code in the context of the kernel."
Wi-Fi,Laptop,CVE-2017-11122,CVE,2017-11122,CWE-200,['N/A'],['N/A'],"On Broadcom BCM4355C0 Wi-Fi chips 9.44.78.27.0.1.56, an attacker can trigger an information leak due to insufficient length validation, related to ICMPv6 router advertisement offloading."
Wi-Fi,Laptop,CVE-2017-11320,CVE,2017-11320,CWE-79,['N/A'],['N/A'],Persistent XSS through the SSID of nearby Wi-Fi devices on Technicolor TC7337 routers 08.89.17.20.00 allows an attacker to cause DNS Poisoning and steal credentials from the router.
Wi-Fi,Laptop,CVE-2014-9596,CVE,2014-9596,CWE-310,['N/A'],['N/A'],"Panasonic Arbitrator Back-End Server (BES) MK 2.0 VPU before 9.3.1 build 4.08.003.0, when USB Wi-Fi or Direct LAN is enabled, and MK 3.0 VPU before 9.3.1 build 5.06.000.0, when Embedded Wi-Fi or Direct LAN is enabled, does not use encryption, which allows remote attackers to obtain sensitive information by sniffing the network for client-server traffic, as demonstrated by Active Directory credential information."
Wi-Fi,Laptop,Wi-Fi Jamming,CAPEC,604,['N/A'],['601'],['N/A'],"In this attack scenario, the attacker actively transmits on the Wi-Fi channel to prevent users from transmitting or receiving data from the targeted Wi-Fi network. There are several known techniques to perform this attack – for example: the attacker may flood the Wi-Fi access point (e.g. the retransmission device) with deauthentication frames. Another method is to transmit high levels of noise on the RF band used by the Wi-Fi network. Lack of anti-jam features in 802.11 Lack of authentication on deauthentication/disassociation packets on 802.11-based networks High Medium Low This attack can be performed by low capability attackers with freely available tools. Commercial tools are also available that can target select networks or all WiFi networks within a range of several miles. Countermeasures have been proposed for both disassociation flooding and RF jamming, however these countermeasures are not standardized and would need to be supported on both the retransmission device and the handset in order to be effective. Commercial products are not currently available that support jamming countermeasures for Wi-Fi. Availability Other A successful attack will deny the availability of the Wi-fi network to authorized users. DoS: resource consumption (other) The attacker's goal is to prevent users from accessing the wireless network. Denying connectivity to the wireless network prevents the user from being able to transmit or receive any data, which also prevents VOIP calls, however this attack poses no threat to data confidentiality. CVE-2016-0802 The Broadcom Wi-Fi driver in the kernel in Android 4.x before 4.4.4, 5.x before 5.1.1 LMY49G, and 6.x before 2016-02-01 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via crafted wireless control message packets, aka internal bug 25306181.. 1000 Attack Pattern ChildOf 601 Mobile"
Wi-Fi,Laptop,CVE-2009-2319,CVE,2009-2319,CWE-310,['N/A'],['N/A'],"The default configuration of the Wi-Fi component on the Axesstel MV 410R does not use encryption, which makes it easier for remote attackers to obtain sensitive information by sniffing the network."
Wi-Fi,Laptop,CVE-2017-0712,CVE,2017-0712,CWE-264,['N/A'],['N/A'],"A elevation of privilege vulnerability in the Android framework (wi-fi service). Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-37207928."
Wi-Fi,Laptop,CVE-2017-10845,CVE,2017-10845,CWE-264,['N/A'],['N/A'],Wi-Fi STATION L-02F Software version V10g and earlier allows remote attackers to access the device with administrative privileges and perform unintended operations through a backdoor account.
Wi-Fi,Laptop,CVE-2017-10846,CVE,2017-10846,CWE-284,['N/A'],['N/A'],Wi-Fi STATION L-02F Software version V10b and earlier allows remote attackers to bypass access restrictions to obtain information on device settings via unspecified vectors.
Wi-Fi,Laptop,CVE-2011-0196,CVE,2011-0196,CWE-399,['N/A'],['N/A'],AirPort in Apple Mac OS X 10.5.8 allows remote attackers to cause a denial of service (out-of-bounds read and reboot) via Wi-Fi frames on the local wireless network.
Wi-Fi,Laptop,CVE-2016-0820,CVE,2016-0820,CWE-264,['N/A'],['N/A'],"The MediaTek Wi-Fi kernel driver in Android 6.0.1 before 2016-03-01 allows attackers to gain privileges via a crafted application, aka internal bug 26267358."
Wi-Fi,Laptop,CVE-2016-2453,CVE,2016-2453,CWE-264,['N/A'],['N/A'],"The MediaTek Wi-Fi driver in Android before 2016-05-01 on Android One devices allows attackers to gain privileges via a crafted application, aka internal bug 27549705."
Wi-Fi,Laptop,CVE-2016-2456,CVE,2016-2456,CWE-264,['N/A'],['N/A'],"The MediaTek Wi-Fi driver in Android before 2016-05-01 on Android One devices allows attackers to gain privileges via a crafted application, aka internal bug 27275187."
Wi-Fi,Laptop,CVE-2016-2470,CVE,2016-2470,N/A,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-06-01 on Nexus 7 (2013) devices allows attackers to gain privileges via a crafted application, aka internal bug 27662174."
Wi-Fi,Laptop,CVE-2016-2471,CVE,2016-2471,N/A,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-06-01 on Nexus 7 (2013) devices allows attackers to gain privileges via a crafted application, aka internal bug 27773913."
Wi-Fi,Laptop,CVE-2016-2472,CVE,2016-2472,N/A,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-06-01 on Nexus 7 (2013) devices allows attackers to gain privileges via a crafted application, aka internal bug 27776888."
Wi-Fi,Laptop,CVE-2016-2473,CVE,2016-2473,N/A,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-06-01 on Nexus 7 (2013) devices allows attackers to gain privileges via a crafted application, aka internal bug 27777501."
Wi-Fi,Laptop,CVE-2016-2474,CVE,2016-2474,N/A,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-06-01 on Nexus 5X devices allows attackers to gain privileges via a crafted application, aka internal bug 27424603."
Wi-Fi,Laptop,CVE-2014-8387,CVE,2014-8387,CWE-78,['N/A'],['N/A'],cgi/utility.cgi in Advantech EKI-6340 2.05 Wi-Fi Mesh Access Point allows remote authenticated users to execute arbitrary commands via shell metacharacters in the pinghost parameter to ping.cgi.
Wi-Fi,Laptop,CVE-2015-4400,CVE,2015-4400,CWE-255,['N/A'],['N/A'],Ring (formerly DoorBot) video doorbells allow remote attackers to obtain sensitive information about the wireless network configuration by pressing the set up button and leveraging an API in the GainSpan Wi-Fi module.
Wi-Fi,Laptop,CVE-2015-4494,CVE,2015-4494,CWE-200,['N/A'],['N/A'],"Mozilla Firefox OS before 2.2 does not require the wifi-manage privilege for reading a Wi-Fi system message, which allows attackers to obtain potentially sensitive information via a crafted app."
Wi-Fi,Laptop,CVE-2015-6623,CVE,2015-6623,CWE-264,['N/A'],['N/A'],"Wi-Fi in Android 6.0 before 2015-12-01 allows attackers to gain privileges via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 24872703."
Wi-Fi,Laptop,CVE-2015-6629,CVE,2015-6629,CWE-200,['N/A'],['N/A'],"Wi-Fi in Android 5.x before 5.1.1 LMY48Z allows attackers to obtain sensitive information via unspecified vectors, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 22667667."
Wi-Fi,Laptop,CVE-2016-4811,CVE,2016-4811,CWE-284,['N/A'],['N/A'],The NTT Broadband Platform Japan Connected-free Wi-Fi application 1.15.1 and earlier for Android and 1.13.0 and earlier for iOS allows man-in-the-middle attackers to obtain API access via unspecified vectors.
Wi-Fi,Laptop,CVE-2016-8501,CVE,2016-8501,CWE-264,['N/A'],['N/A'],Security WiFi bypass in Yandex Browser from version 15.10 to 15.12 allows remote attacker to sniff traffic in open or WEP-protected wi-fi networks despite of special security mechanism is enabled.
Wi-Fi,Laptop,CVE-2017-14953,CVE,2017-14953,CWE-264,['N/A'],['N/A'],"HikVision Wi-Fi IP cameras, when used in a wired configuration, allow physically proximate attackers to trigger association with an arbitrary access point by leveraging a default SSID with no WiFi encryption or authentication."
Wi-Fi,Laptop,CVE-2017-5729,CVE,2017-5729,CWE-19,['N/A'],['N/A'],Frame replay vulnerability in Wi-Fi subsystem in Intel Dual-Band and Tri-Band Wireless-AC Products allows remote attacker to replay frames via channel-based man-in-the-middle.
Wi-Fi,Laptop,CVE-2017-9522,CVE,2017-9522,CWE-254,['N/A'],['N/A'],"The Time Warner firmware on Technicolor TC8717T devices sets the default Wi-Fi passphrase to a combination of the SSID and BSSID, which makes it easier for remote attackers to obtain network access by reading a beacon frame."
Wi-Fi,Laptop,CVE-2018-4084,CVE,2018-4084,CWE-200,['N/A'],['N/A'],"An issue was discovered in certain Apple products. macOS before 10.13.3 is affected. The issue involves the ""Wi-Fi"" component. It allows attackers to bypass intended memory-read restrictions via a crafted app."
Wi-Fi,Laptop,CVE-2016-2498,CVE,2016-2498,CWE-200,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-06-01 on Nexus 7 (2013) devices allows attackers to bypass intended data-access restrictions via a crafted application, aka internal bug 27777162."
Wi-Fi,Laptop,CVE-2017-13078,CVE,2017-13078,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) allows reinstallation of the Group Temporal Key (GTK) during the four-way handshake, allowing an attacker within radio range to replay frames from access points to clients."
Wi-Fi,Laptop,CVE-2017-13080,CVE,2017-13080,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) allows reinstallation of the Group Temporal Key (GTK) during the group key handshake, allowing an attacker within radio range to replay frames from access points to clients."
Wi-Fi,Laptop,CVE-2012-0425,CVE,2012-0425,CWE-200,['N/A'],['N/A'],"LanItems.ycp in save_y2logs in yast2-network before 2.24.4 in SUSE YaST writes cleartext Wi-Fi credentials to the y2log log file, which allows context-dependent attackers to obtain sensitive information by reading the (1) WIRELESS_WPA_PASSWORD or (2) WIRELESS_CLIENT_KEY_PASSWORD field."
Wi-Fi,Laptop,CVE-2013-2560,CVE,2013-2560,CWE-22,['N/A'],['N/A'],"Directory traversal vulnerability in the web interface on Foscam devices with firmware before 11.37.2.49 allows remote attackers to read arbitrary files via a .. (dot dot) in the URI, as demonstrated by discovering (1) web credentials or (2) Wi-Fi credentials."
Wi-Fi,Laptop,CVE-2015-3728,CVE,2015-3728,CWE-254,['N/A'],['N/A'],"The WiFi Connectivity feature in Apple iOS before 8.4 allows remote Wi-Fi access points to trigger an automatic association, with an arbitrary security type, by operating with a recognized ESSID within an 802.11 network's coverage area."
Wi-Fi,Laptop,CVE-2015-5629,CVE,2015-5629,CWE-264,['N/A'],['N/A'],The NTT Broadband Platform Japan Connected-free Wi-Fi application 1.6.0 and earlier for Android and 1.0.2 and earlier for iOS allows attackers to bypass a URL whitelist protection mechanism and obtain API access via unspecified vectors.
Wi-Fi,Laptop,CVE-2016-3767,CVE,2016-3767,CWE-399,['N/A'],['N/A'],"The MediaTek Wi-Fi driver in Android before 2016-07-05 on Android One devices allows attackers to gain privileges via a crafted application, aka Android internal bug 28169363 and MediaTek internal bug ALPS02689526."
Wi-Fi,Laptop,CVE-2016-3797,CVE,2016-3797,N/A,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in Android before 2016-07-05 on Nexus 5X devices allows attackers to gain privileges via a crafted application, aka Android internal bug 28085680 and Qualcomm internal bug CR1001450."
Wi-Fi,Laptop,CVE-2016-7454,CVE,2016-7454,CWE-352,['N/A'],['N/A'],"CSRF vulnerability on Technicolor TC dpc3941T (formerly Cisco dpc3941T) devices with firmware dpc3941-P20-18-v303r20421733-160413a-CMCST allows an attacker to change the Wi-Fi password, open the remote management interface, or reset the router."
Wi-Fi,Laptop,CVE-2017-10871,CVE,2017-10871,CWE-119,['N/A'],['N/A'],Buffer overflow in NTT DOCOMO Wi-Fi STATION L-02F Software version L02F-MDM9625-V10h-JUN-23-2017-DCM-JP and earlier allows an attacker to execute arbitrary code via unspecified vectors.
Wi-Fi,Laptop,CVE-2017-12701,CVE,2017-12701,CWE-20,['N/A'],['N/A'],"BMC Medical Luna CPAP Machines released prior to July 1, 2017, contain an improper input validation vulnerability which may allow an authenticated attacker to crash the CPAP's Wi-Fi module resulting in a denial-of-service condition."
Wi-Fi,Laptop,CVE-2017-13077,CVE,2017-13077,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) allows reinstallation of the Pairwise Transient Key (PTK) Temporal Key (TK) during the four-way handshake, allowing an attacker within radio range to replay, decrypt, or spoof frames."
Wi-Fi,Laptop,CVE-2017-13084,CVE,2017-13084,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) allows reinstallation of the Station-To-Station-Link (STSL) Transient Key (STK) during the PeerKey handshake, allowing an attacker within radio range to replay, decrypt, or spoof frames."
Wi-Fi,Laptop,CVE-2017-13086,CVE,2017-13086,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) allows reinstallation of the Tunneled Direct-Link Setup (TDLS) Peer Key (TPK) during the TDLS handshake, allowing an attacker within radio range to replay, decrypt, or spoof frames."
Wi-Fi,Laptop,CVE-2017-7450,CVE,2017-7450,CWE-284,['N/A'],['N/A'],"AIRTAME HDMI dongle with firmware before 2.2.0 allows unauthenticated access to a big part of the management interface. It is possible to extract all information including the Wi-Fi password, reboot, or force a software update at an arbitrary time."
Wi-Fi,Laptop,CVE-2018-11476,CVE,2018-11476,N/A,['N/A'],['N/A'],An issue was discovered on Vgate iCar 2 Wi-Fi OBD2 Dongle devices. The dongle opens an unprotected wireless LAN that cannot be configured with encryption or a password. This enables anyone within the range of the WLAN to connect to the network without authentication.
Wi-Fi,Laptop,CVE-2011-0172,CVE,2011-0172,CWE-189,['N/A'],['N/A'],"AirPort in Apple Mac OS X 10.6 before 10.6.7 allows remote attackers to cause a denial of service (divide-by-zero error and reboot) via Wi-Fi frames on the local wireless network, a different vulnerability than CVE-2011-0162."
Wi-Fi,Laptop,CVE-2013-3659,CVE,2013-3659,CWE-287,['N/A'],['N/A'],"The NTT DOCOMO overseas usage application 2.0.0 through 2.0.4 for Android does not properly connect to Wi-Fi access points, which allows remote attackers to obtain sensitive information by leveraging presence in an 802.11 network's coverage area."
Wi-Fi,Laptop,CVE-2015-3778,CVE,2015-3778,CWE-200,['N/A'],['N/A'],bootp in Apple iOS before 8.4.1 and OS X before 10.10.5 allows remote attackers to obtain potentially sensitive information about MAC addresses seen in previous Wi-Fi sessions by sniffing an 802.11 network for DNAv4 broadcast traffic.
Wi-Fi,Laptop,CVE-2016-0806,CVE,2016-0806,CWE-264,['N/A'],['N/A'],"The Qualcomm Wi-Fi driver in the kernel in Android 4.x before 4.4.4, 5.x before 5.1.1 LMY49G, and 6.x before 2016-02-01 allows attackers to gain privileges via a crafted application, aka internal bug 25344453."
Wi-Fi,Laptop,CVE-2016-2493,CVE,2016-2493,CWE-264,['N/A'],['N/A'],"The Broadcom Wi-Fi driver in Android before 2016-06-01 on Nexus 5, Nexus 6, Nexus 6P, Nexus 7 (2013), Nexus Player, and Pixel C devices allows attackers to gain privileges via a crafted application, aka internal bug 26571522."
Wi-Fi,Laptop,CVE-2016-3810,CVE,2016-3810,CWE-200,['N/A'],['N/A'],"The MediaTek Wi-Fi driver in Android before 2016-07-05 on Android One devices allows attackers to obtain sensitive information via a crafted application, aka Android internal bug 28175522 and MediaTek internal bug ALPS02694389."
Wi-Fi,Laptop,CVE-2016-3852,CVE,2016-3852,CWE-200,['N/A'],['N/A'],"The MediaTek Wi-Fi driver in Android before 2016-08-05 on Android One devices allows attackers to obtain sensitive information via a crafted application, aka Android internal bug 29141147 and MediaTek internal bug ALPS02751738."
Wi-Fi,Laptop,CVE-2016-4824,CVE,2016-4824,CWE-254,['N/A'],['N/A'],"The Wi-Fi Protected Setup (WPS) implementation on Corega CG-WLR300GNV and CG-WLR300GNV-W devices does not restrict the number of PIN authentication attempts, which makes it easier for remote attackers to obtain network access via a brute-force attack."
Wi-Fi,Laptop,CVE-2016-6192,CVE,2016-6192,CWE-264,['N/A'],['N/A'],"Buffer overflow in the Wi-Fi driver in Huawei P8 smartphones with software before GRA-CL00C92B363 allows attackers to cause a denial of service (system crash) or gain privileges via a crafted application, a different vulnerability than CVE-2016-6193."
Wi-Fi,Laptop,CVE-2016-6193,CVE,2016-6193,CWE-264,['N/A'],['N/A'],"Buffer overflow in the Wi-Fi driver in Huawei P8 smartphones with software before GRA-CL00C92B363 allows attackers to cause a denial of service (system crash) or gain privileges via a crafted application, a different vulnerability than CVE-2016-6192."
Wi-Fi,Laptop,CVE-2017-13079,CVE,2017-13079,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) that supports IEEE 802.11w allows reinstallation of the Integrity Group Temporal Key (IGTK) during the four-way handshake, allowing an attacker within radio range to spoof frames from access points to clients."
Wi-Fi,Laptop,CVE-2017-13081,CVE,2017-13081,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) that supports IEEE 802.11w allows reinstallation of the Integrity Group Temporal Key (IGTK) during the group key handshake, allowing an attacker within radio range to spoof frames from access points to clients."
Wi-Fi,Laptop,CVE-2017-16813,CVE,2017-16813,CWE-20,['N/A'],['N/A'],"A denial-of-service issue was discovered in the Foxit MobilePDF app before 6.1 for iOS. This occurs when a user uploads a file that includes a hexadecimal Unicode character in the ""filename"" parameter via Wi-Fi, since the app could fail to parse this."
Wi-Fi,Laptop,CVE-2017-16814,CVE,2017-16814,CWE-22,['N/A'],['N/A'],"A Directory Traversal issue was discovered in the Foxit MobilePDF app before 6.1 for iOS. This occurs by abusing the URL + escape character during a Wi-Fi transfer, which could be exploited by attackers to bypass intended restrictions on local application files."
Wi-Fi,Laptop,CVE-2013-4614,CVE,2013-4614,CWE-255,['N/A'],['N/A'],"English/pages_MacUS/wls_set_content.html on the Canon MG3100, MG5300, MG6100, MP495, MX340, MX870, MX890, MX920, and MX922 printers shows the Wi-Fi PSK passphrase in cleartext, which allows physically proximate attackers to obtain sensitive information by reading the screen of an unattended workstation."
Wi-Fi,Laptop,CVE-2013-5184,CVE,2013-5184,CWE-399,['N/A'],['N/A'],"The kernel in Apple Mac OS X before 10.9 does not properly check for errors during the processing of multicast Wi-Fi packets, which allows remote attackers to cause a denial of service (system crash) by leveraging presence in an 802.11 network's coverage area."
Wi-Fi,Laptop,CVE-2015-5630,CVE,2015-5630,CWE-79,['N/A'],['N/A'],Cross-site scripting (XSS) vulnerability in the NTT Broadband Platform Japan Connected-free Wi-Fi application 1.6.0 and earlier for Android and 1.0.2 and earlier for iOS allows remote attackers to inject arbitrary web script or HTML via a crafted SSID.
Wi-Fi,Laptop,CVE-2015-5994,CVE,2015-5994,CWE-255,['N/A'],['N/A'],"The web management interface on Mediabridge Medialink MWN-WAPR300N devices with firmware 5.07.50 has a default password of admin for the admin account and a default password of password for the medialink account, which allows remote attackers to obtain administrative privileges by leveraging a Wi-Fi session."
Wi-Fi,Laptop,CVE-2016-3925,CVE,2016-3925,CWE-284,['N/A'],['N/A'],"server/wifi/anqp/ANQPFactory.java in Android 6.x before 2016-10-01 and 7.0 before 2016-10-01 allows attackers to cause a denial of service (blocked Wi-Fi usage) via a crafted application, aka internal bug 30230534."
Wi-Fi,Laptop,CVE-2018-11477,CVE,2018-11477,N/A,['N/A'],['N/A'],An issue was discovered on Vgate iCar 2 Wi-Fi OBD2 Dongle devices. The data packets that are sent between the iOS or Android application and the OBD dongle are not encrypted. The combination of this vulnerability with the lack of wireless network protection exposes all transferred car data to the public.
Wi-Fi,Laptop,CVE-2011-4507,CVE,2011-4507,CWE-310,['N/A'],['N/A'],"The D-Link DIR-685 router, when certain WPA and WPA2 configurations are used, does not maintain an encrypted wireless network during transfer of a large amount of network traffic, which allows remote attackers to obtain sensitive information or bypass authentication via a Wi-Fi device."
Wi-Fi,Laptop,CVE-2012-6371,CVE,2012-6371,CWE-310,['N/A'],['N/A'],"The WPA2 implementation on the Belkin N900 F9K1104v1 router establishes a WPS PIN based on 6 digits of the LAN/WLAN MAC address, which makes it easier for remote attackers to obtain access to a Wi-Fi network by reading broadcast packets, a different vulnerability than CVE-2012-4366."
Wi-Fi,Laptop,CVE-2013-4616,CVE,2013-4616,CWE-255,['N/A'],['N/A'],"The WifiPasswordController generateDefaultPassword method in Preferences in Apple iOS 6 and earlier relies on the UITextChecker suggestWordInLanguage method for selection of Wi-Fi hotspot WPA2 PSK passphrases, which makes it easier for remote attackers to obtain access via a brute-force attack that leverages the insufficient number of possible passphrases."
Wi-Fi,Laptop,CVE-2014-4364,CVE,2014-4364,CWE-310,['N/A'],['N/A'],"The 802.1X subsystem in Apple iOS before 8 and Apple TV before 7 does not require strong authentication methods, which allows remote attackers to calculate credentials by offering LEAP authentication from a crafted Wi-Fi AP and then performing a cryptographic attack against the MS-CHAPv1 hash."
Wi-Fi,Laptop,CVE-2016-0809,CVE,2016-0809,CWE-264,['N/A'],['N/A'],"Use-after-free vulnerability in the wifi_cleanup function in bcmdhd/wifi_hal/wifi_hal.cpp in Wi-Fi in Android 6.x before 2016-02-01 allows attackers to gain privileges by leveraging access to the local physical environment during execution of a crafted application, aka internal bug 25753768."
Wi-Fi,Laptop,CVE-2016-2475,CVE,2016-2475,CWE-20,['N/A'],['N/A'],"The Broadcom Wi-Fi driver in Android before 2016-06-01 on Nexus 5, Nexus 6, Nexus 6P, Nexus 7 (2013), Nexus 9, Nexus Player, and Pixel C devices allows attackers to gain privileges for certain system calls via a crafted application, aka internal bug 26425765."
Wi-Fi,Laptop,CVE-2017-11361,CVE,2017-11361,CWE-264,['N/A'],['N/A'],"Inteno routers have a JUCI ACL misconfiguration that allows the ""user"" account to read files, write to files, and add root SSH keys via JSON commands to ubus. (Exploitation is sometimes easy because the ""user"" password might be ""user"" or might match the Wi-Fi key.)"
Wi-Fi,Laptop,CVE-2017-13082,CVE,2017-13082,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) that supports IEEE 802.11r allows reinstallation of the Pairwise Transient Key (PTK) Temporal Key (TK) during the fast BSS transmission (FT) handshake, allowing an attacker within radio range to replay, decrypt, or spoof frames."
Wi-Fi,Laptop,CVE-2017-13087,CVE,2017-13087,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) that support 802.11v allows reinstallation of the Group Temporal Key (GTK) when processing a Wireless Network Management (WNM) Sleep Mode Response frame, allowing an attacker within radio range to replay frames from access points to clients."
Wi-Fi,Laptop,CVE-2017-13088,CVE,2017-13088,CWE-254,['N/A'],['N/A'],"Wi-Fi Protected Access (WPA and WPA2) that support 802.11v allows reinstallation of the Integrity Group Temporal Key (IGTK) when processing a Wireless Network Management (WNM) Sleep Mode Response frame, allowing an attacker within radio range to replay frames from access points to clients."
Wi-Fi,Laptop,CVE-2017-6957,CVE,2017-6957,CWE-119,['N/A'],['N/A'],"Stack-based buffer overflow in the firmware in Broadcom Wi-Fi HardMAC SoC chips, when the firmware supports CCKM Fast and Secure Roaming and the feature is enabled in RAM, allows remote attackers to execute arbitrary code via a crafted reassociation response frame with a Cisco IE (156)."
Wi-Fi,Laptop,CVE-2009-4821,CVE,2009-4821,CWE-287,['N/A'],['N/A'],"The D-Link DIR-615 with firmware 3.10NA does not require administrative authentication for apply.cgi, which allows remote attackers to (1) change the admin password via the admin_password parameter, (2) disable the security requirement for the Wi-Fi network via unspecified vectors, or (3) modify DNS settings via unspecified vectors."
Wi-Fi,Laptop,CVE-2013-4872,CVE,2013-4872,CWE-264,['N/A'],['N/A'],"Google Glass before XE6 does not properly restrict the processing of QR codes, which allows physically proximate attackers to modify the configuration or redirect users to arbitrary web sites via a crafted symbol, as demonstrated by selecting a Wi-Fi access point in order to conduct a man-in-the-middle attack."
Wi-Fi,Laptop,CVE-2013-6918,CVE,2013-6918,CWE-264,['N/A'],['N/A'],"The web interface on the Satechi travel router 1.5, when Wi-Fi is used for WAN access, exposes the console without authentication on the WAN IP address regardless of the ""Web Management via WAN"" setting, which allows remote attackers to bypass intended access restrictions via HTTP requests."
Wi-Fi,Laptop,CVE-2014-9909,CVE,2014-9909,CWE-264,['N/A'],['N/A'],An elevation of privilege vulnerability in the Broadcom Wi-Fi driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: N/A. Android ID: A-31676542. References: B-RB#26684.
Wi-Fi,Laptop,CVE-2014-9910,CVE,2014-9910,CWE-264,['N/A'],['N/A'],An elevation of privilege vulnerability in the Broadcom Wi-Fi driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: N/A. Android ID: A-31746399. References: B-RB#26710.
Wi-Fi,Laptop,CVE-2015-2876,CVE,2015-2876,N/A,['N/A'],['N/A'],"Unrestricted file upload vulnerability on Seagate GoFlex Satellite, Seagate Wireless Mobile Storage, Seagate Wireless Plus Mobile Storage, and LaCie FUEL devices with firmware before 3.4.1.105 allows remote attackers to execute arbitrary code by uploading a file to /media/sda2 during a Wi-Fi session."
Wi-Fi,Laptop,CVE-2016-3837,CVE,2016-3837,CWE-200,['N/A'],['N/A'],"service/jni/com_android_server_wifi_WifiNative.cpp in Wi-Fi in Android 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-08-01 allows attackers to obtain sensitive information via a crafted application that provides a MAC address with too few characters, aka internal bug 28164077."
Wi-Fi,Laptop,CVE-2016-3869,CVE,2016-3869,CWE-264,['N/A'],['N/A'],"The Broadcom Wi-Fi driver in Android before 2016-09-05 on Nexus 5, Nexus 6, Nexus 6P, Nexus 9, Nexus Player, and Pixel C devices allows attackers to gain privileges via a crafted application, aka Android internal bug 29009982 and Broadcom internal bug RB#96070."
Wi-Fi,Laptop,CVE-2016-3905,CVE,2016-3905,CWE-264,['N/A'],['N/A'],"CORE/HDD/src/wlan_hdd_main.c in the Qualcomm Wi-Fi driver in Android before 2016-10-05 on Nexus 5X devices allows attackers to gain privileges via a crafted application that sends a SENDACTIONFRAME command, aka Android internal bug 28061823 and Qualcomm internal bug CR 1001449."
Wi-Fi,Laptop,CVE-2017-6956,CVE,2017-6956,CWE-119,['N/A'],['N/A'],"On the Broadcom Wi-Fi HardMAC SoC with fbt firmware, a stack buffer overflow occurs when handling an 802.11r (FT) authentication response, leading to remote code execution via a crafted access point that sends a long R0KH-ID field in a Fast BSS Transition Information Element (FT-IE)."
